id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
565770,Blue Beetle,7.139,1023,Released,2023-08-16,124818235,128,False,/1syW9SNna38rSl9fnXwc9fP7POW.jpg,120000000,https://www.dc.com/bluebeetle,tt9362930,en,Blue Beetle,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.",2994.357,/mXLOHHc1Zeuwsl4xYKjKh2280oL.jpg,Jaime Reyes is a superhero whether he likes it or not.,"Action, Science Fiction, Adventure","Warner Bros. Pictures, The Safran Company, DC Films",United States of America,"English, Portuguese, Spanish","armor, superhero, family relationships, family, high tech, job hunting, mexican american, aftercreditsstinger, duringcreditsstinger, immigrant family, college graduate, dc extended universe (dceu), alien technology, brother sister relationship, latino"
980489,Gran Turismo,8.068,702,Released,2023-08-09,114800000,135,False,/xFYpUmB01nswPgbzi8EOCT1ZYFu.jpg,60000000,https://www.granturismo.movie,tt4495098,en,Gran Turismo,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,2680.593,/51tqzRtKMMZEYUpSYkrUE7v9ehm.jpg,From gamer to racer.,"Action, Drama, Adventure","PlayStation Productions, 2.0 Entertainment, Columbia Pictures",United States of America,"English, German, Japanese","based on true story, racing, based on video game, duringcreditsstinger, exhilarated, joyful"
968051,The Nun II,6.545,365,Released,2023-09-06,231200000,110,False,/53z2fXEKfnNg2uSOPss2unPBGX1.jpg,38500000,https://www.warnerbros.com/movies/nun2,tt10160976,en,The Nun II,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",1692.778,/c9kVD7W8CT5xe4O3hQ7bFWwk68U.jpg,Confess your sins.,"Horror, Mystery, Thriller","New Line Cinema, Atomic Monster, The Safran Company",United States of America,"English, French","france, bullying, sequel, religion, demon, gothic horror, demonic possession, praying, duringcreditsstinger, 1950s, demonic, girls' school, convent, the conjuring universe"
615656,Meg 2: The Trench,6.912,2034,Released,2023-08-02,384056482,116,False,/5mzr6JZbrqnqD8rCEvPhuCE5Fw2.jpg,129000000,https://www.themeg.movie,tt9224104,en,Meg 2: The Trench,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,1567.273,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,Back for seconds.,"Action, Science Fiction, Horror","Apelles Entertainment, Warner Bros. Pictures, di Bonaventura Pictures, CMC Pictures, DF Pictures, Onaroll Productions","China, United States of America",English,"based on novel or book, sequel, shark, kaiju, civil action, oceans, shark cage"
762430,Retribution,6.816,258,Released,2023-08-23,12905464,91,False,/iiXliCeykkzmJ0Eg9RYJ7F2CWSz.jpg,20000000,https://iiil.io/jCT7,tt6906292,en,Retribution,"When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.",1547.22,/oUmmY7QWWn7OhKlcPOnirHJpP1F.jpg,All roads lead to the truth.,"Action, Mystery, Thriller, Crime","StudioCanal, The Picture Company, Ombra Films","France, United States of America","English, German","assassination, bomb, remake, divorce, duringcreditsstinger, phone call, berlin"
1008042,Talk to Me,7.214,973,Released,2023-07-26,72600000,95,False,/iIvQnZyzgx9TkbrOgcXx0p7aLiq.jpg,4500000,https://umbrellaent.com.au/movie/talk-to-me,tt10638522,en,Talk to Me,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",1458.514,/kdPMUMJzyYAc4roD52qavX0nLIC.jpg,You call. They'll answer.,"Horror, Thriller","Causeway Films, Metrol Technology, Screen Australia, South Australian Film Corporation, Bankside Films, Head Gear Films, Adelaide Film Festival Investment Fund","Australia, United Kingdom",English,"suicide, trauma, possession, female friendship, addiction, grief, female protagonist, death of mother, self mutilation, mental health, dead parent, social media, peer pressure, disembodied hand, generation z, self-harm, supernatural horror, cautionary tale, adelaide australia, body horror, graphic violence, teenager, modern australia"
385687,Fast X,7.265,3881,Released,2023-05-17,704709660,142,False,/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,340000000,https://fastxmovie.com,tt5433140,en,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",1175.267,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,The end of the road begins.,"Action, Crime, Thriller","Universal Pictures, Original Film, One Race, Perfect Storm Entertainment",United States of America,English,"sequel, revenge, betrayal, racing, family, cliffhanger, cars"
678512,Sound of Freedom,7.973,503,Released,2023-07-03,212587173,131,False,/eMPxmNvJjxVZIQWI2t1VmNC5IuR.jpg,15000000,https://www.soundoffreedommovie.com/,tt7599146,en,Sound of Freedom,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",1111.036,/kSf9svfL2WrKeuK8W08xeR5lTn8.jpg,Fight for the light. Silence the darkness.,"Action, Drama",Santa Fe Films,United States of America,"English, Spanish","kidnapping, human trafficking, based on true story, child kidnapping, lost children, children in danger, colombia"
346698,Barbie,7.279,5074,Released,2023-07-19,1428545028,114,False,/ctMserH8g2SeOAnCw5gFjdQF8mo.jpg,145000000,https://www.barbie-themovie.com,tt1517268,en,Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",1069.34,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,She's everything. He's just Ken.,"Comedy, Adventure, Fantasy","LuckyChap Entertainment, Heyday Films, NB/GG Pictures, Mattel","United Kingdom, United States of America",English,"feminism, satire, patriarchy, based on toy, female protagonist, doll, submissive, fantasy world, motherhood, existentialism, woman director, mother daughter relationship, gender discrimination, barbie, secret world"
976573,Elemental,7.757,2467,Released,2023-06-14,486797988,102,False,/4fLZUr1e65hKPPVw0R3PmKFKxj1.jpg,200000000,https://movies.disney.com/elemental,tt15789038,en,Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",1008.942,/4Y1WNkd88JXmGfhtWR7dmDAo1T2.jpg,Opposites react.,"Animation, Comedy, Family, Fantasy, Romance","Walt Disney Pictures, Pixar",United States of America,English,"fire, computer animation, duringcreditsstinger, elements, water, city, hopeful"
820609,No One Will Save You,6.897,345,Released,2023-09-22,0,93,False,/zYlgqIpqJ1VAbvFhRhktAzIybVs.jpg,22800000,https://www.20thcenturystudios.com/movies/no-one-will-save-you,tt14509110,en,No One Will Save You,An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,961.212,/ehGIDAMaYy6Eg0o8ga0oqflDjqW.jpg,A home invasion no one saw coming.,"Horror, Science Fiction, Thriller","20th Century Studios, Star Thrower Entertainment",United States of America,English,"isolation, trauma, grief, female protagonist, home invasion, guilt, death of mother, alien attack, reclusive, aliens"
